,Gaming Laptop Name,Processor,Ram,Display,Storage,Rating,Price
0,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"<li class=""rgWa7D"">Intel Core i5 Processor (10th Gen)</li>","<li class=""rgWa7D"">8 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹52,990</div>"
1,ASUS TUF Gaming F17 Intel H-Series Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,"<li class=""rgWa7D"">Intel Core i5 Processor (11th Gen)</li>","<li class=""rgWa7D"">8 GB DDR4 RAM</li>","<li class=""rgWa7D"">43.94 cm (17.3 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹57,990</div>"
2,"ASUS Vivobook Pro 15 For Creator, Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Gra...","<li class=""rgWa7D"">AMD Ryzen 5 Hexa Core Processor</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.8<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹68,990</div>"
3,ASUS TUF Gaming F15 with 90WHr Battery Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graph...,"<li class=""rgWa7D"">Intel Core i5 Processor (11th Gen)</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.7<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹67,990</div>"
4,"ASUS Vivobook Pro 15 For Creator, Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Grap...","<li class=""rgWa7D"">AMD Ryzen 5 Hexa Core Processor</li>","<li class=""rgWa7D"">8 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹54,990</div>"
5,ASUS TUF Gaming F15 Intel H-Series Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,"<li class=""rgWa7D"">Intel Core i5 Processor (11th Gen)</li>","<li class=""rgWa7D"">8 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.2<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹57,990</div>"
6,"ASUS Vivobook Pro 15 For Creator, Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Grap...","<li class=""rgWa7D"">AMD Ryzen 5 Hexa Core Processor</li>","<li class=""rgWa7D"">8 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹54,990</div>"
7,ASUS TUF Gaming F15 (2022) Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"<li class=""rgWa7D"">Intel Core i7 Processor (12th Gen)</li>","<li class=""rgWa7D"">16 GB DDR5 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹1,00,990</div>"
8,"ASUS Vivobook Pro 15 For Creator, Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Gra...","<li class=""rgWa7D"">AMD Ryzen 7 Octa Core Processor</li>","<li class=""rgWa7D"">16 GB DDR4 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">512 GB SSD</li>","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹74,990</div>"
9,ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphi...,"<li class=""rgWa7D"">AMD Ryzen 7 Octa Core Processor</li>","<li class=""rgWa7D"">16 GB DDR5 RAM</li>","<li class=""rgWa7D"">39.62 cm (15.6 Inch) Display</li>","<li class=""rgWa7D"">1 TB SSD</li>","<div class=""_3LWZlK"">4.5<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>","<div class=""_30jeq3 _1_WHN1"">₹89,990</div>"
